timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715124077313,121344,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Education 1-53,text,false,,2092,0,287,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124077300,121358,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Languages 7-20,text,false,,2092,0,300,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124077328,121331,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Certifications 2-46,text,false,,2092,0,294,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124077315,121343,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Description 3-44,text,false,,2092,0,297,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124074739,123922,SignIn,200,OK,Description 3-5,text,true,,492,353,297,2376,http://localhost:60968/authentication/authentication/signin,123922,0,1
1715124077347,121314,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Skills 8-20,text,false,,2092,0,300,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124077334,121328,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,ShareSkill 5-33,text,false,,2092,0,300,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124074882,123780,SignIn,200,OK,ShareSkill 5-2,text,true,,492,353,300,2376,http://localhost:60968/authentication/authentication/signin,123780,0,1
1715124077364,121298,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Languages 7-21,text,false,,2092,0,300,2376,http://localhost:60968/authentication/authentication/signin,0,0,0
1715124074768,123897,SignIn,200,OK,ShareSkill 5-1,text,true,,492,353,300,2376,http://localhost:60968/authentication/authentication/signin,123897,0,1
1715124077466,121199,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,ShareSkill 5-35,text,false,,2092,0,300,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124077478,121187,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Certifications 2-48,text,false,,2092,0,294,2376,http://localhost:60968/authentication/authentication/signin,0,0,0
1715124074869,123809,SignIn,200,OK,SearchSkills 4-3,text,true,,492,353,298,2376,http://localhost:60968/authentication/authentication/signin,123809,0,2
1715124077497,121181,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Languages 7-23,text,false,,2092,0,300,2376,http://localhost:60968/authentication/authentication/signin,0,0,2
1715124077481,121197,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Skills 8-22,text,false,,2092,0,300,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124074887,123793,SignIn,200,OK,Description 3-7,text,true,,492,353,297,2376,http://localhost:60968/authentication/authentication/signin,123793,0,6
1715124077516,121164,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Description 3-47,text,false,,2092,0,297,2376,http://localhost:60968/authentication/authentication/signin,0,0,1
1715124077498,121182,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,SearchSkills 4-43,text,false,,2092,0,298,2376,http://localhost:60968/authentication/authentication/signin,0,0,0
1715124077544,121137,SignIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:60968 failed to respond,Certifications 2-49,text,false,,2092,0,294,2376,http://localhost:60968/authentication/authentication/signin,0,0,0
